TaxTaxNo,EMUIRN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBGENUS,SPECIES,TAXON,AITHOR,AITHOR1
9993,,Animalia,Echinodermata,Echinoidea,Cidaroida,Hemicidaridae,Hemicidaris,,sp.,Hemicidaris sp.,,
6933,,Animalia,Echinodermata,Edrioasteroidea,,Hemicystitidae,Hemicystitidae,,indet.,Hemicystitidae indet.,,
6269,,Animalia,Arthropoda,Ostracoda,Podocopida,Hemicytheridae,Hemicytheridae,,indet.,Hemicytheridae indet.,,
10068,,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,,oregonensis,Hemigrapsus oregonensis,"(Dana, 1851)",
1389,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Hemiliostraca,,abreojosensis,Hemiliostraca abreojosensis,"(Bartsch, 1917)",
1405,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Hemiliostraca,,halia,Hemiliostraca halia,"(Bartsch, 1917)",
1427,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Hemiliostraca,,sp.,Hemiliostraca sp.,,
7187,,Animalia,Mollusca,Cephalopoda,Oncocerida,Hemiphragmoceratidae,Hemiphragmoceratidae,,indet.,Hemiphragmoceratidae indet.,,
6913,,Animalia,Echinodermata,Echinoidea,Holasteroida,Hemipneustidae,Hemipneustidae,,indet.,Hemipneustidae indet.,,
6137,118325,Animalia,Arthropoda,Insecta,Hemiptera,,Hemiptera,,indet.,Hemiptera indet.,,
9155,,Animalia,Arthropoda,Trilobita,Corynexochida,Dolichometopidae,Hemirhodon,,amplipyge,Hemirhodon amplipyge,"(Robison, 1964)",
6485,,Animalia,Brachiopoda,Rhynchonellata,Rhynchonellida,Hemithirididae,Hemithirididae,,indet.,Hemithirididae indet.,,
12986,,Animalia,Mollusca,Cephalopoda,Nautilida,Hercoglossidae,Hercoglossa,,merriami,Hercoglossa merriami,"Dickerson, 1914",
6587,,Animalia,Brachiopoda,Strophomenata,Productida,Hercosiidae,Hercosiidae,,indet.,Hercosiidae indet.,,
1958,,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Here,,effingeri,Here effingeri,"(Weaver & Kleinpell, 1963)",
1959,,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Here,,excavata,Here excavata,"(Carpenter, 1857)",
1962,,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Here,,hannai,Here hannai,"(Clark, 1938)",
1981,,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Here,,sp.,Here sp.,,
3149,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Philinidae,Hermania,,bakeri,Hermania bakeri,"(Dall, 1919)",
3155,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Philinidae,Hermania,,sp.,Hermania sp.,,
8172,,Animalia,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Hertleinia,,angosturana,Hertleinia angosturana,"Marks, 1949",
8186,,Animalia,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Hertleinia,,marksi,Hertleinia marksi,"Olsson, 1964",
478,,Animalia,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Hertleinia,,mitriformis,Hertleinia mitriformis,"(Sowerby I, 1832)",
7962,,Animalia,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Hertleinia,,posunculensis,Hertleinia posunculensis,"(Anderson & Martin, 1914)",
